,Volume,Centroid,Sphericity (axes),Image size,Total image volume,Total object volume (pixels),Filling ratio,Number objects
34,34,"(15.235294117647058, 59.1764705882353, 115.55882352941177)",0.8596952395203079,,,,,
35,82,"(16.841463414634145, 41.21951219512195, 38.26829268292683)",0.8225165800262048,,,,,
36,57,"(16.36842105263158, 70.05263157894737, 92.94736842105263)",0.8921189601051868,,,,,
37,64,"(16.15625, 75.203125, 75.640625)",0.8763498187362729,,,,,
38,74,"(17.594594594594593, 14.58108108108108, 39.351351351351354)",0.8493079043916403,,,,,
39,98,"(17.397959183673468, 63.11224489795919, 60.19387755102041)",0.8880909232638498,,,,,
40,100,"(18.77, 96.36, 89.99)",0.8820274784587493,,,,,
41,105,"(18.590476190476192, 99.5904761904762, 48.4)",0.8269210955457724,,,,,
42,98,"(19.744897959183675, 31.836734693877553, 74.03061224489795)",0.8358765825504856,,,,,
43,120,"(20.691666666666666, 23.733333333333334, 60.99166666666667)",0.861144640798644,,,,,
44,255,"(23.36862745098039, 25.027450980392157, 78.62745098039215)",0.800429908117568,,,,,
45,263,"(22.334600760456272, 51.61596958174905, 42.29657794676806)",0.5564448911630497,,,,,
46,21,"(20.571428571428573, 73.95238095238095, 51.04761904761905)",0.9331935175389101,,,,,
47,117,"(22.213675213675213, 88.8119658119658, 66.37606837606837)",0.8550619121362104,,,,,
48,89,"(21.921348314606742, 101.46067415730337, 38.247191011235955)",0.8832884917443516,,,,,
49,107,"(23.364485981308412, 93.94392523364486, 49.33644859813084)",0.8628391982203719,,,,,
50,102,"(23.519607843137255, 32.372549019607845, 40.068627450980394)",0.8447850475621279,,,,,
51,104,"(23.5, 68.57692307692308, 40.88461538461539)",0.8541822864656532,,,,,
52,96,"(23.697916666666668, 71.78125, 60.989583333333336)",0.8675143254842018,,,,,
53,89,"(27.06741573033708, 36.640449438202246, 34.52808988764045)",0.9077392478107603,,,,,
54,102,"(26.470588235294116, 76.87254901960785, 61.431372549019606)",0.8643989543027518,,,,,
55,26,"(26.884615384615383, 30.46153846153846, 64.73076923076923)",0.7995984380996463,,,,,
56,27,"(26.85185185185185, 68.70370370370371, 111.5925925925926)",0.9047326600892057,,,,,
57,104,"(27.567307692307693, 81.47115384615384, 67.91346153846153)",0.8856333469575824,,,,,
58,27,"(28.074074074074073, 101.0, 118.44444444444444)",0.6764153154058244,,,,,
59,64,"(27.546875, 101.734375, 101.265625)",0.919879846300481,,,,,
60,20,"(27.1, 112.55, 55.5)",0.8958117980425642,,,,,
61,91,"(28.67032967032967, 23.285714285714285, 55.31868131868132)",0.7904830851389483,,,,,
62,56,"(28.142857142857142, 58.035714285714285, 88.30357142857143)",0.8690941550132999,,,,,
63,104,"(28.64423076923077, 80.1923076923077, 48.32692307692308)",0.8213775993323968,,,,,
64,183,"(29.9672131147541, 95.09289617486338, 64.91803278688525)",0.7255226644465179,,,,,
65,39,"(29.846153846153847, 45.1025641025641, 116.12820512820512)",0.8842004084483273,,,,,
66,103,"(30.66990291262136, 110.86407766990291, 35.699029126213595)",0.8731180002371516,,,,,
67,100,"(32.21, 48.53, 47.45)",0.8562048181553484,,,,,
68,22,"(31.136363636363637, 52.81818181818182, 60.68181818181818)",0.950774888606305,,,,,
69,192,"(33.333333333333336, 37.520833333333336, 39.296875)",0.7209927963245708,,,,,
70,87,"(32.35632183908046, 67.40229885057471, 85.01149425287356)",0.8670214978746461,,,,,
71,28,"(32.285714285714285, 82.35714285714286, 118.82142857142857)",0.8473510060789723,,,,,
72,99,"(34.717171717171716, 61.494949494949495, 45.24242424242424)",0.819272189022671,,,,,
73,138,"(35.833333333333336, 23.67391304347826, 54.289855072463766)",0.8005497674238311,,,,,
74,110,"(35.41818181818182, 62.61818181818182, 61.91818181818182)",0.8490721564470469,,,,,
75,81,"(35.80246913580247, 92.85185185185185, 100.12345679012346)",0.8894555981521929,,,,,
76,95,"(36.17894736842105, 91.41052631578947, 41.85263157894737)",0.8409266413002179,,,,,
77,121,"(37.66115702479339, 95.14876033057851, 54.01652892561984)",0.8685717635538409,,,,,
78,207,"(40.94202898550725, 78.7536231884058, 40.2512077294686)",0.7775729707481457,,,,,
79,137,"(39.386861313868614, 47.56204379562044, 43.76642335766423)",0.8069073534265144,,,,,
80,122,"(39.34426229508197, 101.4672131147541, 55.49180327868852)",0.8359505414251248,,,,,
81,109,"(40.39449541284404, 39.79816513761468, 49.63302752293578)",0.77340629870295,,,,,
82,100,"(40.65, 98.97, 43.62)",0.8433631944740362,,,,,
83,179,"(42.00558659217877, 18.106145251396647, 37.68156424581006)",0.8026832803075897,,,,,
84,70,"(41.48571428571429, 37.5, 74.22857142857143)",0.8959436555272676,,,,,
85,96,"(41.416666666666664, 75.77083333333333, 86.14583333333333)",0.834309285044778,,,,,
86,158,"(45.79113924050633, 106.4113924050633, 45.44303797468354)",0.7139245783419325,,,,,
87,112,"(45.357142857142854, 100.875, 56.794642857142854)",0.8275814693025789,,,,,
88,50,"(48.64, 109.58, 118.0)",0.867465852994249,,,,,
89,107,"(49.66355140186916, 24.327102803738317, 47.570093457943926)",0.8111254291124803,,,,,
90,30,"(49.266666666666666, 29.766666666666666, 54.4)",0.8527832616567663,,,,,
91,21,"(48.76190476190476, 49.04761904761905, 40.857142857142854)",0.9199226036643268,,,,,
92,142,"(50.67605633802817, 63.82394366197183, 70.11267605633803)",0.7908989785382307,,,,,
93,113,"(52.2212389380531, 44.43362831858407, 48.26548672566372)",0.8016488992092342,,,,,
94,212,"(52.29716981132076, 76.24056603773585, 52.87735849056604)",0.7725466605128104,,,,,
95,129,"(52.70542635658915, 84.1937984496124, 65.93798449612403)",0.762331573550406,,,,,
96,162,"(53.29012345679013, 102.0, 86.74691358024691)",0.7658604361259833,,,,,
97,121,"(53.917355371900825, 31.578512396694215, 35.82644628099174)",0.8417634943894339,,,,,
98,121,"(53.66115702479339, 57.06611570247934, 66.25619834710744)",0.7823523638968826,,,,,
99,367,"(54.6267029972752, 68.62397820163488, 46.37057220708447)",0.5142564755767254,,,,,
100,26,"(52.46153846153846, 71.3076923076923, 103.46153846153847)",0.7475569106780628,,,,,
101,114,"(54.73684210526316, 76.44736842105263, 38.59649122807018)",0.7901089393945688,,,,,
102,34,"(54.794117647058826, 112.55882352941177, 53.94117647058823)",0.7445175523904944,,,,,
103,236,"(57.75847457627118, 27.911016949152543, 51.690677966101696)",0.5216764436073146,,,,,
104,27,"(56.888888888888886, 21.37037037037037, 118.96296296296296)",0.9630453181619135,,,,,
105,121,"(58.586776859504134, 44.570247933884296, 59.47933884297521)",0.7831305089921331,,,,,
106,205,"(60.604878048780485, 17.073170731707318, 43.35121951219512)",0.8207023814869027,,,,,
107,128,"(60.25, 99.8515625, 56.921875)",0.7909688752570664,,,,,
108,111,"(61.65765765765766, 52.531531531531535, 54.387387387387385)",0.850047279575545,,,,,
109,152,"(61.81578947368421, 81.41447368421052, 68.63157894736842)",0.7885731522035899,,,,,
110,212,"(61.75, 87.26886792452831, 51.801886792452834)",0.7227381511503251,,,,,
111,181,"(62.270718232044196, 37.86740331491713, 43.51381215469613)",0.5718305492147506,,,,,
112,75,"(62.4, 70.77333333333333, 50.373333333333335)",0.738201949539362,,,,,
113,31,"(62.193548387096776, 88.12903225806451, 80.48387096774194)",0.9069432129995946,,,,,
114,62,"(62.62903225806452, 102.06451612903226, 39.225806451612904)",0.65387329821343,,,,,
115,21,"(62.95238095238095, 54.666666666666664, 43.476190476190474)",0.5049073387588406,,,,,
116,20,"(62.8, 96.05, 110.8)",0.6503056397083504,,,,,
