,Volume,Centroid,Sphericity (axes),Image size,Total image volume,Total object volume (pixels),Filling ratio,Number objects
43,97,"(14.154639175257731, 105.56701030927834, 118.47422680412372)",0.9279734605804715,,,,,
44,104,"(15.98076923076923, 44.32692307692308, 107.50961538461539)",0.8530265126402877,,,,,
45,73,"(15.219178082191782, 74.8082191780822, 112.01369863013699)",0.8307585552571596,,,,,
46,71,"(15.140845070422536, 97.85915492957747, 117.92957746478874)",0.9211753737745493,,,,,
47,124,"(15.588709677419354, 98.54838709677419, 73.12096774193549)",0.8475619406148627,,,,,
48,162,"(16.80246913580247, 75.27160493827161, 66.41975308641975)",0.8459459231330246,,,,,
49,20,"(17.55, 17.25, 107.85)",0.8063787751245365,,,,,
50,115,"(18.295652173913044, 37.791304347826085, 76.43478260869566)",0.8753852107371727,,,,,
51,92,"(18.434782608695652, 40.19565217391305, 91.21739130434783)",0.8011075419413146,,,,,
52,209,"(20.373205741626794, 83.80382775119617, 106.70813397129187)",0.8140115664952496,,,,,
53,134,"(20.223880597014926, 23.970149253731343, 96.05223880597015)",0.8308137738100935,,,,,
54,105,"(19.62857142857143, 69.02857142857142, 110.48571428571428)",0.8434757917411424,,,,,
55,68,"(19.323529411764707, 72.70588235294117, 93.8970588235294)",0.8491299354149706,,,,,
56,273,"(21.7985347985348, 91.3882783882784, 63.56043956043956)",0.6314981276751304,,,,,
57,822,"(26.023114355231144, 106.53284671532846, 83.68004866180048)",0.5624734511652336,,,,,
58,156,"(23.102564102564102, 40.18589743589744, 115.40384615384616)",0.8138227634073218,,,,,
59,54,"(20.944444444444443, 60.94444444444444, 102.81481481481481)",0.8394266549917976,,,,,
60,129,"(23.11627906976744, 75.57364341085271, 82.88372093023256)",0.8383452527888398,,,,,
61,62,"(22.661290322580644, 91.04838709677419, 81.19354838709677)",0.8731753424976857,,,,,
62,106,"(23.556603773584907, 18.31132075471698, 97.34905660377359)",0.8576656469033169,,,,,
63,101,"(23.425742574257427, 83.16831683168317, 64.72277227722772)",0.8618892222979647,,,,,
64,308,"(28.607142857142858, 36.0, 114.03571428571429)",0.6755552988755102,,,,,
65,143,"(25.776223776223777, 56.39160839160839, 75.41958041958041)",0.7918238105572424,,,,,
66,43,"(24.86046511627907, 80.4186046511628, 94.16279069767442)",0.8418033352608614,,,,,
67,98,"(26.051020408163264, 102.43877551020408, 105.88775510204081)",0.8270102709434187,,,,,
68,56,"(27.160714285714285, 18.0, 115.14285714285714)",0.9227759297311576,,,,,
69,54,"(26.537037037037038, 56.833333333333336, 117.18518518518519)",0.8715289153063808,,,,,
70,62,"(26.016129032258064, 91.88709677419355, 94.43548387096774)",0.8350256276214034,,,,,
71,65,"(27.56923076923077, 20.753846153846155, 106.6923076923077)",0.9395788796717606,,,,,
72,30,"(26.866666666666667, 79.93333333333334, 118.86666666666666)",0.9655197997767062,,,,,
73,95,"(30.178947368421053, 55.294736842105266, 104.48421052631579)",0.9322543809785492,,,,,
74,199,"(32.20100502512563, 61.994974874371856, 99.57286432160804)",0.6730546953824649,,,,,
75,70,"(29.542857142857144, 87.41428571428571, 81.92857142857143)",0.937932022037165,,,,,
76,45,"(30.755555555555556, 21.77777777777778, 119.46666666666667)",0.9861482298637493,,,,,
77,160,"(33.06875, 72.2125, 82.43125)",0.798157508935852,,,,,
78,170,"(31.988235294117647, 107.70588235294117, 65.37647058823529)",0.6889985650050161,,,,,
